School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?,Auto.bid
Air Force,32,16,16,0.5,3.31,0.471,0.377,0.705,62.5,102.6,0.572,45.3,68.4,9.9,0.54,17.7,114,0,0
Akron,36,23,13,0.639,-1.02,0.43,0.361,0.704,67,102.9,0.53,47.9,58.3,9.8,0.499,15.5,106,1,1
Alabama A&M,28,13,15,0.464,-11.75,0.396,0.288,0.624,71.6,89.8,0.472,48.8,53.6,11.6,0.435,19,307,0,0
UAB,31,22,9,0.71,2.78,0.438,0.342,0.717,63.1,105.7,0.538,51.7,55.6,8.2,0.508,16.6,37,1,0
Alabama State,35,17,18,0.486,-10.31,0.395,0.283,0.603,66.5,91.6,0.476,50.7,55.5,10.9,0.44,19.7,260,1,1
Alabama,37,25,12,0.676,4.27,0.45,0.298,0.707,65.3,101.6,0.52,52,48.8,14.4,0.487,18,59,0,0
Albany,32,16,16,0.5,-5.96,0.424,0.378,0.645,61,101.1,0.517,51.8,51.1,7.5,0.494,17.6,213,0,0
Alcorn State,28,4,24,0.143,-8.02,0.369,0.323,0.633,77.7,84.2,0.452,43.4,41.5,10,0.404,19.1,337,0,0
American,31,22,9,0.71,-5.64,0.447,0.338,0.718,61.9,105.2,0.543,52.4,60.1,6.5,0.506,15.6,127,0,0
Appalachian State,31,16,15,0.516,-2.95,0.455,0.337,0.705,68.9,105.5,0.548,49.9,41.4,8.3,0.511,16.5,195,0,0
Arizona State,31,12,19,0.387,7.2,0.43,0.351,0.628,64.4,99,0.521,47.3,64.4,9.8,0.501,16.7,156,0,0
Arizona,38,30,8,0.789,7.99,0.469,0.397,0.746,66.9,112.8,0.583,53.1,55.3,7.7,0.541,16.4,13,1,0
Arkansas-Little Rock,36,19,17,0.528,-2.97,0.426,0.393,0.69,65.4,103.3,0.528,48.9,52.5,8.9,0.488,15.7,196,1,1
Arkansas-Pine Bluff,31,7,24,0.226,-8.03,0.389,0.344,0.627,68.4,86.2,0.483,46.7,56.9,10.9,0.449,21.5,327,0,0
Arkansas State,32,17,15,0.531,-3.31,0.432,0.33,0.708,65.6,103.8,0.526,53.3,48.7,9.6,0.481,16.9,178,0,0
Arkansas,31,18,13,0.581,2.34,0.436,0.362,0.695,67.7,102.8,0.532,48,49.3,10.6,0.495,16.8,130,0,0
Army,30,11,19,0.367,-6.58,0.416,0.364,0.71,68.2,99.6,0.525,48.7,57,8.3,0.493,18,280,0,0
Auburn,31,11,20,0.355,2.4,0.398,0.318,0.656,65.7,93.8,0.481,49.4,51.7,11.7,0.442,18.1,253,0,0
Austin Peay,34,20,14,0.588,-3.77,0.459,0.36,0.68,68.6,105.4,0.539,50.8,53.8,12.3,0.506,17.4,134,0,0
Ball State,32,19,13,0.594,-3.4,0.446,0.336,0.693,64.7,103.3,0.538,50.3,60.2,9.2,0.492,17.3,165,0,0
Baylor,31,18,13,0.581,4.8,0.465,0.346,0.695,66.5,104,0.552,53.3,48.5,10.5,0.515,20.2,95,0,0
Belmont,35,30,5,0.857,-4.42,0.462,0.378,0.736,69.2,114.3,0.577,52.5,60.9,13.9,0.542,16.8,56,1,1
Bethune-Cookman,34,21,13,0.618,-8.04,0.439,0.316,0.708,63.5,101.6,0.52,49.7,49.4,11,0.477,16.3,192,0,0
Binghamton,31,8,23,0.258,-5.35,0.397,0.354,0.701,61.6,96.7,0.5,46.2,51.9,8.2,0.468,17.2,300,0,0
Boise State,35,22,13,0.629,0.01,0.438,0.344,0.722,68.2,106.4,0.54,50.4,51.3,12.4,0.497,15.2,110,0,0
Boston College,34,21,13,0.618,7.31,0.462,0.382,0.724,64.1,111.9,0.573,49.4,60.4,7.7,0.545,15.1,61,0,0
Boston University,35,21,14,0.6,-3.85,0.402,0.355,0.729,62.7,103,0.517,50.2,46.1,8.6,0.473,16.1,129,1,1
Bowling Green,33,14,19,0.424,-2.03,0.432,0.297,0.642,66.1,95.9,0.497,48.1,56,12.8,0.471,17.4,244,0,0
Bradley,32,12,20,0.375,1.67,0.427,0.334,0.722,65.9,98.1,0.512,48.3,50,9.5,0.473,16.3,229,0,0
BYU,37,32,5,0.865,5.76,0.449,0.361,0.765,71.1,113.4,0.562,51.9,52.8,11.2,0.518,13.2,8,1,0
Brown,28,11,17,0.393,-4.12,0.439,0.343,0.747,69.5,102.5,0.546,48.6,58,7.5,0.506,15.9,243,0,0
Bryant,30,9,21,0.3,-3.12,0.418,0.361,0.652,66.8,98.7,0.516,47,56.8,8.2,0.49,17.6,254,0,0
Bucknell,34,25,9,0.735,-3.87,0.446,0.4,0.788,66.1,105.9,0.554,49.7,59.4,7.1,0.509,15.1,82,1,1
Buffalo,34,20,14,0.588,-2.22,0.472,0.376,0.651,67,104.6,0.55,52.5,54.4,11.7,0.527,19.5,149,0,0
Butler,38,28,10,0.737,5.02,0.433,0.352,0.726,64.5,109,0.541,52.3,49.2,9.1,0.501,14.4,19,1,1
Cal Poly,30,15,15,0.5,-2.39,0.389,0.311,0.664,61.4,96.1,0.487,50,55.7,9.8,0.45,16.5,203,0,0
Cal State Bakersfield,28,9,19,0.321,-2.16,0.396,0.332,0.689,69.6,96.9,0.49,46.5,50.1,10.4,0.45,16.6,309,0,0
Cal State Fullerton,31,11,20,0.355,-2.81,0.449,0.367,0.719,68.4,103.7,0.549,49.6,52.3,7.6,0.508,18.1,304,0,0
Cal State Northridge,32,14,18,0.438,-1.55,0.436,0.325,0.673,70,99.6,0.528,50.3,54.1,9.3,0.487,19.5,247,0,0
UC Davis,30,10,20,0.333,-1.9,0.46,0.378,0.728,68,102.4,0.567,45.9,60.5,9.4,0.534,18.5,301,0,0
UC Irvine,32,13,19,0.406,-2.36,0.422,0.354,0.735,72,102.2,0.532,47.8,48.9,9,0.485,15.6,297,0,0
UC Riverside,31,12,19,0.387,-1.4,0.424,0.347,0.682,66.6,97.8,0.503,50.3,50.2,8.8,0.47,17.7,263,0,0
UC Santa Barbara,32,18,14,0.563,0.12,0.454,0.372,0.752,65.1,102.9,0.563,49.6,61.6,11,0.523,19.3,155,1,1
California,33,18,15,0.545,9.17,0.461,0.351,0.695,68.5,103.9,0.549,51.6,60.1,8.2,0.508,17.3,75,0,0
Campbell,31,12,19,0.387,-4.27,0.452,0.35,0.641,65.6,99.5,0.52,49.9,57.3,10.7,0.49,18.8,279,0,0
Canisius,30,15,15,0.5,-3.55,0.424,0.349,0.699,67.3,101.2,0.519,49.3,60.8,10.3,0.491,17.5,183,0,0
Centenary (LA),30,1,29,0.033,-2.85,0.397,0.3,0.627,70.8,83.6,0.481,43.4,49.2,10,0.44,23,342,0,0
Central Arkansas,29,5,24,0.172,-5.39,0.416,0.313,0.642,72.4,94.2,0.501,47.3,50.1,10.5,0.466,19.3,340,0,0
Central Connecticut,31,19,12,0.613,-5.97,0.436,0.328,0.767,67.6,102.4,0.527,51.1,59,11,0.479,17.9,147,0,0
UCF,33,21,12,0.636,1.97,0.454,0.335,0.69,65.3,105.3,0.55,51.7,52.8,9.3,0.512,18.2,74,0,0
Central Michigan,31,10,21,0.323,-2.41,0.384,0.326,0.629,64.8,90.5,0.462,49.1,41.1,11,0.43,17.5,308,0,0
Charleston Southern,32,16,16,0.5,-4.57,0.447,0.363,0.755,69,106.6,0.541,52.7,47.2,12.5,0.502,17.4,234,0,0
Charlotte,30,10,20,0.333,1.89,0.414,0.333,0.729,65.5,97.5,0.52,50.4,52.4,9.4,0.476,19,228,0,0
Chattanooga,32,16,16,0.5,-2.67,0.417,0.322,0.649,70.8,99.2,0.522,52.1,58.7,7.1,0.491,18.4,200,0,0
