School,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI
Air Force,32,18,14,0.563,4.28,0.47,0.382,0.714,64.8,107.6,0.577,47.8,63.9,9.9,0.551,16.5,79
Akron,33,26,7,0.788,0.18,0.455,0.332,0.643,66.4,106.5,0.539,54,56.9,10.4,0.516,17.4,48
Alabama A&M,31,11,20,0.355,-9.82,0.399,0.294,0.63,67.4,92.5,0.476,49.8,52.7,8.6,0.443,17.9,328
UAB,33,16,17,0.485,1.51,0.433,0.334,0.724,71.3,99.8,0.522,51.2,61.7,11.4,0.488,18.6,142
Alabama State,32,10,22,0.313,-9.01,0.408,0.302,0.597,67.1,91.5,0.477,49.3,50.5,9.3,0.454,18.9,327
Alabama,36,23,13,0.639,5.93,0.428,0.335,0.702,62.3,100.1,0.517,49.5,47,13,0.48,17.2,64
Albany,35,24,11,0.686,-4.53,0.435,0.37,0.737,62.8,102.1,0.541,52.2,51.8,8.7,0.496,18.5,134
Alcorn State,34,10,24,0.294,-7.11,0.385,0.294,0.621,69,87.2,0.462,47.2,42.4,9.4,0.428,18.9,307
American,30,10,20,0.333,-2.53,0.413,0.362,0.709,59.4,96.1,0.507,50.9,56.5,5.6,0.473,17.7,278
Appalachian State,31,15,16,0.484,-5.77,0.436,0.359,0.689,68.3,102,0.528,50.3,45.8,9.8,0.493,16.9,264
Arizona State,35,22,13,0.629,4.6,0.459,0.346,0.649,67.5,104.5,0.546,50.2,55.1,9.2,0.523,16.4,94
Arizona,35,27,8,0.771,7.47,0.455,0.371,0.749,66.8,109.5,0.565,54.8,54.1,10,0.525,16.9,16
Arkansas-Little Rock,32,17,15,0.531,-2.23,0.422,0.337,0.676,69.2,96.1,0.509,49.5,50.8,9.7,0.468,19.1,174
Arkansas-Pine Bluff,30,16,14,0.533,-8.2,0.4,0.302,0.631,68.7,90.8,0.476,47.4,55.9,14.3,0.447,18.1,201
Arkansas State,31,19,12,0.613,-4.36,0.406,0.311,0.682,66.3,100.7,0.507,51.2,46,12.1,0.463,16.4,162
Arkansas,32,19,13,0.594,4.97,0.435,0.3,0.672,70.6,103.6,0.516,48.3,55.8,13,0.484,14.1,99
Army,31,16,15,0.516,-4.52,0.445,0.37,0.734,67.8,105.6,0.555,52.1,57.6,7.5,0.518,17.9,208
Auburn,32,9,23,0.281,4.18,0.409,0.311,0.7,66.6,95.5,0.5,49.3,54.5,10.2,0.46,17.2,250
Austin Peay,31,8,23,0.258,-4.31,0.457,0.383,0.673,69.7,100.6,0.55,48.5,58.1,8.8,0.523,20.1,320
Ball State,30,15,15,0.5,-3.15,0.425,0.327,0.652,65.8,99.2,0.52,52.9,54.1,9.8,0.483,19.7,233
Baylor,37,23,14,0.622,7.13,0.46,0.353,0.691,68.5,110.3,0.55,51.7,58.5,9.5,0.519,14.8,55
Belmont,33,26,7,0.788,-0.96,0.491,0.383,0.732,68.1,112.3,0.594,48.8,57,14.3,0.567,17.3,24
Bethune-Cookman,34,14,20,0.412,-6.44,0.416,0.306,0.624,67.2,99.1,0.494,49,53.9,10.7,0.465,15.5,281
Binghamton,30,3,27,0.1,-3.7,0.372,0.286,0.645,66.2,84.4,0.457,48.3,42,8.7,0.422,20.3,338
Boise State,32,21,11,0.656,5.27,0.46,0.391,0.747,66.3,109.9,0.565,53.4,51.3,9.9,0.53,15.8,50
Boston College,33,16,17,0.485,7.03,0.441,0.353,0.712,64,104.4,0.548,49.1,53.9,8.7,0.51,15.8,112
Boston University,30,17,13,0.567,-3.93,0.449,0.37,0.727,65.4,102.8,0.549,47.9,55.2,11.3,0.522,16.9,155
Bowling Green,32,13,19,0.406,-1.75,0.419,0.306,0.715,63.9,96.7,0.496,49.7,51.1,11.4,0.464,17,275
Bradley,35,18,17,0.514,1.97,0.437,0.319,0.723,66.1,101.7,0.517,48.6,50.1,13.6,0.483,15.5,179
BYU,36,24,12,0.667,3.75,0.457,0.338,0.728,71.1,108.5,0.543,52.6,57.6,11.4,0.505,14.6,58
Brown,28,13,15,0.464,-3.03,0.409,0.345,0.631,63.7,95.9,0.504,51.9,57.2,10.2,0.478,18.8,240
Bryant,31,19,12,0.613,-4.72,0.48,0.356,0.722,67,110.1,0.576,51.2,57.9,7.6,0.544,16.9,167
Bucknell,34,28,6,0.824,-1.96,0.453,0.358,0.742,62.6,107,0.538,54.1,55.6,5.5,0.496,13.3,53
Buffalo,34,14,20,0.412,-0.35,0.449,0.347,0.703,64.9,102.2,0.545,52.8,64.2,8.4,0.51,20.3,218
Butler,36,27,9,0.75,6.08,0.45,0.347,0.696,64.9,106.4,0.546,55.5,53.5,8.8,0.512,17.3,21
Cal Poly,32,18,14,0.563,-0.62,0.424,0.375,0.725,60,107.1,0.528,50.7,61.3,9.5,0.491,13.4,163
Cal State Bakersfield,30,14,16,0.467,-2.17,0.418,0.337,0.7,67.7,98.9,0.515,50.1,53.5,10.7,0.477,17.8,234
Cal State Fullerton,32,14,18,0.438,-3.03,0.47,0.378,0.758,70.2,109.1,0.579,45.2,55.2,11,0.543,16.1,270
Cal State Northridge,31,14,17,0.452,-1.93,0.436,0.336,0.733,71.6,105.2,0.525,52,57.9,11.8,0.479,16.1,241
UC Davis,31,14,17,0.452,-2.57,0.473,0.405,0.719,67.3,105.5,0.579,49.5,58.6,6.9,0.551,18.7,235
UC Irvine,37,21,16,0.568,-0.66,0.433,0.334,0.665,67,102.1,0.518,51.2,62.2,7.2,0.491,15.9,136
UC Riverside,31,6,25,0.194,-1.71,0.417,0.289,0.583,64.5,91.1,0.481,52.2,55.5,9.6,0.461,19.4,339
UC Santa Barbara,31,11,20,0.355,0.4,0.419,0.346,0.692,64.2,99.4,0.523,50.5,65,8.2,0.493,19.1,244
California,33,21,12,0.636,7.77,0.444,0.302,0.715,66.5,100.7,0.515,52,56.2,8.7,0.48,16.4,52
Campbell,33,13,20,0.394,-5.55,0.445,0.307,0.709,67.7,100,0.516,48.6,53.9,10.9,0.48,17.2,288
Canisius,34,20,14,0.588,-0.99,0.446,0.386,0.716,66.8,109.2,0.559,50.8,50.4,8.7,0.527,16.9,114
Central Arkansas,30,13,17,0.433,-6.12,0.435,0.352,0.632,73.2,102,0.511,48.4,49.4,10.5,0.49,16.3,287
Central Connecticut,30,13,17,0.433,-4.04,0.428,0.352,0.732,70.7,101.4,0.522,45.9,48.2,10.4,0.486,15.4,200
UCF,31,20,11,0.645,0.96,0.453,0.357,0.644,66.5,105.5,0.544,51.7,56.1,11.2,0.518,17.6,101
Central Michigan,31,11,20,0.355,-1.21,0.409,0.332,0.731,65.5,102.2,0.529,47.7,59.4,10.2,0.484,17.1,260
Charleston Southern,32,19,13,0.594,-5.62,0.422,0.36,0.707,68.1,107.5,0.531,52.7,48.3,10.7,0.499,15.2,189
Charlotte,33,21,12,0.636,2.75,0.44,0.268,0.654,68.2,98.3,0.509,53,48.8,10.8,0.471,18.9,81
Chattanooga,32,13,19,0.406,-4.97,0.418,0.298,0.665,68.8,99.9,0.504,53.2,50,9.9,0.464,17.1,292
