 ,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?
Abilene Christian,31,11,20,0.355,-4.12,0.443,0.402,0.749,67.7,104.2,0.559,50.2,54.5,10.4,0.515,18.8,na,0
Air Force,30,12,18,0.4,1.71,0.435,0.331,0.69,65.4,100.1,0.538,48.8,61.7,8.3,0.504,18,247,0
Akron,34,21,13,0.618,-0.48,0.438,0.346,0.623,65.5,103.6,0.527,51,47.6,10,0.503,17,96,0
Alabama A&M,30,14,16,0.467,-10.58,0.41,0.324,0.656,66.5,95.9,0.504,47.1,57.9,9.3,0.467,17.3,272,0
UAB,31,18,13,0.581,-0.77,0.417,0.301,0.658,69.4,104,0.496,55,49,7.8,0.458,15.1,153,0
Alabama State,32,19,13,0.594,-11.4,0.419,0.286,0.676,68,102.4,0.504,49.5,52.4,9.8,0.465,15,253,0
Alabama,32,13,19,0.406,8.88,0.444,0.334,0.685,64.4,104,0.537,48.5,47.4,10.5,0.499,16,128,0
Albany,34,19,15,0.559,-5.22,0.441,0.36,0.75,63,103.3,0.539,52.5,49.2,8.5,0.488,17.2,171,1
Alcorn State,31,12,19,0.387,-9.27,0.418,0.303,0.654,65,96.6,0.498,47.3,40.8,9,0.459,15.5,315,0
American,33,20,13,0.606,-3.25,0.49,0.379,0.707,60.7,103.4,0.584,50.6,65.8,9.8,0.558,20.8,123,1
Appalachian State,30,9,21,0.3,-7.13,0.416,0.302,0.638,67.4,99.8,0.493,50.6,45.5,9.2,0.459,15.1,335,0
Arizona State,33,21,12,0.636,7.41,0.451,0.39,0.694,69,107.2,0.558,48.4,56.3,7.2,0.524,14.6,51,1
Arizona,38,33,5,0.868,9.04,0.469,0.364,0.659,64.1,112.3,0.546,55.1,57.6,9,0.517,13.4,2,1
Arkansas-Little Rock,32,15,17,0.469,-1.09,0.425,0.325,0.737,68.4,101.4,0.519,50.8,48,8.4,0.47,16.2,191,0
Arkansas-Pine Bluff,31,13,18,0.419,-6.9,0.411,0.343,0.661,67.9,92.9,0.508,46.6,53.1,14,0.471,20.1,265,0
Arkansas State,32,19,13,0.594,-3.18,0.444,0.383,0.726,68.6,107.9,0.563,48.5,53.3,9.6,0.523,15.5,186,0
Arkansas,34,22,12,0.647,5.57,0.441,0.362,0.726,72.5,109.2,0.543,47.7,56.1,11.5,0.501,13.7,67,0
Army,31,15,16,0.484,-4.66,0.444,0.339,0.7,68.1,105.4,0.54,48.9,54.4,8.8,0.509,16.3,237,0
Auburn,30,14,16,0.467,5.47,0.437,0.31,0.721,67.6,105.6,0.535,49.3,48.3,9,0.489,15.5,160,0
Austin Peay,30,12,18,0.4,-5.78,0.488,0.344,0.665,71.9,104.8,0.568,48.7,55.7,9.4,0.537,19.2,299,0
Ball State,30,5,25,0.167,0.65,0.407,0.314,0.691,67,95.9,0.511,52.7,57.6,6.6,0.468,21,311,0
Baylor,38,26,12,0.684,10.11,0.455,0.386,0.68,64.2,115.1,0.556,54.8,58.7,8,0.521,14.8,28,1
Belmont,36,26,10,0.722,-1.88,0.498,0.392,0.739,69.5,114.9,0.612,48.8,58.1,9.9,0.58,16.6,48,0
Bethune-Cookman,32,7,25,0.219,-7.53,0.4,0.356,0.719,63.4,99.4,0.507,47.2,46.1,9.7,0.464,17.1,343,0
Binghamton,30,7,23,0.233,-6.15,0.38,0.32,0.693,65.6,92.3,0.489,47.5,47.7,9.2,0.439,18.7,326,0
Boise State,34,21,13,0.618,3.86,0.456,0.372,0.749,65.9,113.9,0.564,53.3,45.7,8.9,0.524,13,81,0
Boston College,32,8,24,0.25,8.62,0.446,0.352,0.741,62.7,107.4,0.567,47.1,55.4,6.8,0.523,15.8,206,0
Boston University,35,24,11,0.686,-2.4,0.452,0.363,0.714,65.9,106.6,0.552,49.1,54.9,10.5,0.523,15.5,90,0
Bowling Green,32,12,20,0.375,-0.2,0.426,0.288,0.637,67,92.9,0.491,49.8,52.1,11.4,0.46,18.8,198,0
Bradley,32,12,20,0.375,-0.31,0.419,0.322,0.701,63.9,99.7,0.504,50,42.4,11.1,0.464,16.1,264,0
BYU,35,23,12,0.657,5.72,0.463,0.355,0.692,73.5,112,0.545,53.3,53.8,9.6,0.503,12.9,38,1
Brown,29,15,14,0.517,-4.04,0.431,0.381,0.673,69.4,101.7,0.52,51.9,52.8,8.1,0.489,16,232,0
Bryant,32,18,14,0.563,-4.89,0.47,0.334,0.703,67.9,107.4,0.558,48.5,50,9.5,0.526,16,180,0
Bucknell,30,16,14,0.533,-3.14,0.429,0.39,0.746,63.7,103.5,0.528,52.8,51.1,7.2,0.489,14.8,170,0
Buffalo,29,19,10,0.655,-2.13,0.447,0.335,0.712,67.7,108.2,0.545,52.1,59.8,10,0.504,15.9,108,0
Butler,31,14,17,0.452,6.98,0.429,0.323,0.661,64,104.2,0.514,50.3,45.7,9.1,0.482,13.2,154,0
Cal Poly,34,14,20,0.412,1.69,0.408,0.333,0.688,60.8,103.5,0.501,48.8,52.3,9.6,0.466,12.5,184,1
Cal State Bakersfield,32,13,19,0.406,-4.31,0.438,0.389,0.688,66,104,0.535,51.6,50.1,9.8,0.501,17.8,279,0
Cal State Fullerton,31,11,20,0.355,-1.12,0.425,0.331,0.658,66.8,100.6,0.513,49.1,46.7,7,0.481,15.5,285,0
Cal State Northridge,35,17,18,0.486,-3.29,0.454,0.367,0.791,68.7,108.6,0.557,51.9,53,9.8,0.492,15.8,251,0
UC Davis,31,9,22,0.29,-1.76,0.438,0.357,0.696,66.6,102.7,0.543,43.9,49.9,7.5,0.51,15.9,323,0
UC Irvine,35,23,12,0.657,-0.65,0.47,0.354,0.641,65.6,106.3,0.544,52.8,60.1,8.4,0.521,16.5,110,0
UC Riverside,31,10,21,0.323,-2.33,0.433,0.302,0.702,67.5,99.5,0.517,49.2,47.2,9.4,0.473,16.8,320,0
UC Santa Barbara,30,21,9,0.7,-0.13,0.464,0.385,0.708,63.1,111.5,0.567,51.7,65.4,7.8,0.531,15.2,107,0
California,35,21,14,0.6,7.44,0.457,0.345,0.686,66.4,107.7,0.538,50.5,58.3,7.9,0.507,13.3,59,0
Campbell,32,12,20,0.375,-7.33,0.441,0.35,0.677,64,104.4,0.544,48.3,58.9,9.3,0.521,17.8,316,0
Canisius,33,21,12,0.636,-1.95,0.458,0.386,0.743,68.2,112.6,0.566,47.9,47.5,10,0.527,14.4,103,0
Central Arkansas,29,8,21,0.276,-5.54,0.447,0.366,0.601,74.3,99.8,0.521,45.4,46.8,11.4,0.501,17,328,0
Central Connecticut,30,11,19,0.367,-6.06,0.435,0.335,0.717,70.8,98.9,0.516,46.6,50.1,9.7,0.482,17.1,289,0
UCF,31,13,18,0.419,5.14,0.439,0.335,0.614,68,105.2,0.52,52.2,48.4,9.9,0.497,16.5,209,0
Central Michigan,31,10,21,0.323,-2.72,0.434,0.32,0.71,65.8,108.3,0.54,47.9,48.4,11.2,0.504,13.9,294,0
Charleston Southern,31,13,18,0.419,-5.75,0.458,0.383,0.73,68.6,116.3,0.573,51.9,49.4,9.3,0.538,13.3,268,0
Charlotte,31,17,14,0.548,-0.5,0.445,0.356,0.648,69.7,101.7,0.527,52.3,53.3,8.6,0.497,18,151,0
Chattanooga,33,18,15,0.545,-7.9,0.433,0.332,0.703,70.4,106.3,0.533,51.3,47,9.9,0.489,16.1,248,0
Chicago State,32,13,19,0.406,-2.44,0.418,0.337,0.675,69.6,98.3,0.509,43.8,45.5,12.2,0.476,15.2,260,0
Cincinnati,34,27,7,0.794,5.28,0.425,0.335,0.708,63.6,107.5,0.519,53.2,52.8,12.4,0.477,14.5,22,1
Citadel,33,7,26,0.212,-6.75,0.43,0.361,0.722,66.5,100,0.529,47.5,57.9,6.2,0.489,16.6,na,0
Clemson,36,23,13,0.639,5.97,0.424,0.31,0.744,59.9,103.9,0.519,51.4,48.1,7.6,0.474,15.6,65,0
Cleveland State,33,21,12,0.636,-0.52,0.469,0.404,0.753,64.7,111.3,0.574,51.4,56,9.2,0.536,16.6,91,0
Coastal Carolina,34,21,13,0.618,-6.31,0.437,0.338,0.691,68.6,104.2,0.528,53.2,42,9.2,0.491,17,182,1
Colgate,31,13,18,0.419,-4.08,0.484,0.396,0.715,62.8,109,0.586,49.1,56.1,7.2,0.564,16.3,258,0
College of Charleston,32,14,18,0.438,-1.89,0.412,0.341,0.656,62.2,99.8,0.504,53.9,45.7,7.4,0.473,17.1,243,0
Colorado State,32,16,16,0.5,2.16,0.428,0.326,0.726,65.8,111.5,0.53,53.4,52.6,7.6,0.476,11.8,185,0
Colorado,35,23,12,0.657,8.8,0.435,0.318,0.718,67,103.7,0.534,54.3,48.8,8.7,0.483,17,42,1
Columbia,34,21,13,0.618,-1.92,0.446,0.388,0.775,61.9,108.1,0.578,52.3,56.5,8.1,0.53,17.3,127,0
Connecticut,40,32,8,0.8,8.63,0.449,0.387,0.777,65.5,108.9,0.562,50.2,50.3,10.7,0.515,15.3,5,1
Coppin State,32,12,20,0.375,-4.99,0.392,0.324,0.73,68.5,101.4,0.507,46.1,51.1,8.7,0.456,14.9,263,0
Cornell,28,2,26,0.071,0.03,0.41,0.318,0.664,65.2,97.4,0.498,46.5,46,6.4,0.471,15.9,329,0
Creighton,35,27,8,0.771,7.17,0.497,0.414,0.743,65.3,120.6,0.616,51.7,64.2,6.1,0.589,13.4,17,1
Dartmouth,28,12,16,0.429,-3.24,0.444,0.379,0.686,64.4,105.1,0.534,51.6,52.3,9.2,0.501,16,262,0
Davidson,33,20,13,0.606,-3.73,0.477,0.376,0.716,68,113.7,0.582,50,50.3,7.9,0.55,14.7,131,0
Dayton,37,26,11,0.703,5.34,0.463,0.377,0.681,65.4,109.6,0.555,52.7,51.9,9.1,0.524,15.7,33,1
Delaware State,30,9,21,0.3,-6.11,0.422,0.322,0.689,61.1,99.6,0.512,47.9,56.8,8.2,0.474,16.6,330,0
Delaware,35,25,10,0.714,-1.1,0.444,0.347,0.711,70.9,111.7,0.546,48.1,40.3,8.4,0.504,11.7,66,1
